"Crime";"Drama";"Thriller";"Comedy";"Romance";"Action";"Fantasy";"Horror";"Biography";"Adventure";"Mystery";"Musical";"Sci-Fi";"Animation";"History";"War";"Music";"Documentary";"Short";"Film-Noir";"Sport";"N/A";"Family";"Game-Show";"Reality-TV";"Western";"Adult"
"Crime";0;88;40;0;11;0;2;1;0;0;16;0;4;0;1;0;0;0;0;3;0;0;0;0;0;0;0
"Drama";2;0;47;1;72;0;18;10;0;0;43;2;12;0;18;9;14;0;0;4;8;0;3;0;0;3;0
"Thriller";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Comedy";43;81;10;0;50;0;9;7;0;0;5;3;6;0;0;1;4;0;0;0;5;0;3;0;0;0;0
"Romance";0;0;2;1;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;1;0;0;0;0;1;0
"Action";44;41;19;16;5;0;15;10;2;42;2;0;24;0;3;1;0;0;0;0;1;0;1;0;0;0;0
"Fantasy";0;0;0;0;3;0;0;7;0;0;5;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Horror";0;0;15;0;0;0;0;0;0;0;15;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Biography";8;36;1;6;2;0;0;0;0;0;0;0;0;0;7;1;2;0;0;0;3;0;0;0;0;0;0
"Adventure";4;25;6;11;2;1;11;2;3;0;3;0;17;0;1;1;0;0;0;0;0;0;3;0;0;2;0
"Mystery";0;0;25;0;6;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;1;0
"Musical";0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
"Sci-Fi";0;0;11;0;0;1;0;0;0;2;0;0;0;0;0;0;0;1;2;0;0;0;0;0;0;0;0
"Animation";1;1;0;7;0;0;2;0;0;6;0;0;1;0;0;0;0;0;0;0;0;0;3;0;0;0;0
"History";0;0;4;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"War";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Music";0;0;0;0;5;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
"Documentary";0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;3;0;0;0;0;0;0;0;0
"Short";0;2;0;3;0;2;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
"Film-Noir";0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Sport";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"N/A";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Family";0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Game-Show";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
"Reality-TV";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Western";0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"Adult";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
